feature,importance
cool,0.587527128751956
funny,0.0801733839568355
user_useful_total,0.060459404074729425
text_length,0.04966156556178401
stars,0.037507167120648985
user_review_count,0.03446513702044482
review_year,0.03225190968791572
biz_pagerank,0.03217133418455474
word_count,0.02417679133267376
user_tenure_years,0.01494715469425031
user_avg_stars,0.014337516570929583
user_degree,0.011256734503406246
review_month,0.007164956668626727
user_community,0.0069804763397511484
user_fans,0.006378120353677832
is_elite,0.0005412191778152832
user_pagerank,0.0
