category,checkin_class,mean_star_rating,mean_review_count,tip_to_review_ratio
Restaurants,low,3.4139356111220436,11.058558558558559,0.0703326544467074
Restaurants,medium,3.44082087732137,28.230215827338128,0.12699479770817956
Restaurants,high,3.673536499997889,217.17604856512142,0.13819395562648182
Food,low,3.8010075091083406,10.225531914893617,0.06450270495214315
Food,medium,3.6835159442646277,23.006599908966773,0.12936858869731233
Food,high,3.704396136375812,159.97593512947947,0.156342178067588
Shopping,low,3.6920477980496407,11.443891652846876,0.04497150033813158
Shopping,medium,3.726556957623989,18.635844748858446,0.09929555895865237
Shopping,high,3.5217211111562365,71.6437054631829,0.17798333443847666
Home Services,low,3.389528125385956,15.299559471365638,0.031762885113734526
Home Services,medium,3.198988413738922,25.665384615384614,0.05964333882811329
Home Services,high,3.0095201313383937,58.85314685314685,0.1408032319391635
Beauty & Spas,low,3.8685337839109426,10.224778761061946,0.05495932144711788
Beauty & Spas,medium,3.864565562764658,27.442904049616928,0.09277994177157975
Beauty & Spas,high,3.9498075721493926,108.34257425742574,0.10668396907499132
Nightlife,low,3.497301468157469,11.046153846153846,0.055710306406685235
Nightlife,medium,3.645999567589118,26.888604353393085,0.11271428571428571
Nightlife,high,3.6743614579555137,242.5503144654088,0.13670087254152027
Bars,low,3.489923496933753,10.23021582733813,0.05063291139240506
Bars,medium,3.658729780941338,27.644992526158447,0.11165481629673686
Bars,high,3.667380962693459,249.85307855626326,0.13428018844195486
Health & Medical,low,3.637606325663616,9.785401459854015,0.04169774727733851
Health & Medical,medium,3.6729792299763693,20.197560975609758,0.0757396449704142
Health & Medical,high,3.4793504009332854,61.75373134328358,0.13389728096676737
Local Services,low,3.613069723102502,15.080662393162394,0.03800786369593709
Local Services,medium,3.606709229161787,22.176312247644685,0.0892152697699824
Local Services,high,3.5398672179329367,74.43404255319149,0.19225931854562087
Automotive,low,3.6059564663532497,11.358877086494688,0.047291430098189834
Automotive,medium,3.430766915889073,27.660598179453835,0.08025010577781956
Automotive,high,3.255182245795072,78.61847389558233,0.15886800163465467
